,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3339,2015,903,2696,489,all-offenses,957,2,888,1078,633,296,186,38,5,2,3
3340,1999,2684,26107,667,all-offenses,1368,154,10290,8666,4633,2840,1029,315,98,22,43
3341,1992,1048,365,299,all-offenses,328,3,219,68,57,13,3,1,1,0,1019
3342,1992,9,32,6,all-offenses,13,0,7,15,5,2,3,1,0,0,1
3343,1999,39,111,7,all-offenses,8,0,8,29,35,23,33,14,7,0,0
3344,2008,417,3254,250,all-offenses,461,3,735,1469,585,373,192,53,28,13,9
3345,2005,95249,130110,3906,all-offenses,14331,629,79535,54895,37236,29178,10329,2221,585,181,145
3346,2003,0,1,0,all-offenses,0,0,0,0,0,1,0,0,0,0,0
3347,1996,1002,14003,582,all-offenses,2491,29,4406,5707,2256,504,121,15,5,1,52
3348,2000,434,977,408,all-offenses,666,13,314,356,286,129,49,5,1,0,0
3349,2002,155,73,11,all-offenses,25,0,5,90,66,41,10,2,0,0,0
3350,1991,710,858,7,all-offenses,20,0,158,471,355,81,15,4,1,0,470
3351,2010,113025,414109,3414,all-offenses,7171,105,130627,211749,96449,55861,24036,3994,457,44,55
3352,2017,27,283,0,all-offenses,17,0,9,88,99,58,25,6,5,1,2
3353,1996,1922,1808,84,all-offenses,239,0,862,1487,774,322,94,29,4,0,3
3354,2017,33774,60060,16498,all-offenses,29489,91,6418,25793,23944,13431,8226,2197,474,82,187
3355,2008,7367,29475,1054,all-offenses,1601,41,12030,12030,6299,4274,1323,234,45,6,13
3356,2016,79,645,5,all-offenses,6,16,233,99,145,128,54,33,9,6,0
3357,1994,14,143,4,all-offenses,11,10,36,24,42,23,5,3,1,0,6
3358,1999,1073,2448,213,all-offenses,449,0,608,1283,891,381,93,18,3,2,6
3359,2014,1,0,0,all-offenses,0,0,0,1,0,0,0,0,0,0,0
3360,2012,31574,51765,9008,all-offenses,17517,93,6417,26262,20412,13349,6275,1515,322,78,107
3361,1996,308,1858,33,all-offenses,226,1,278,835,557,220,62,16,1,0,3
3362,2007,1074,2227,667,all-offenses,1150,14,759,878,567,412,134,28,8,0,18
3363,1999,1,3,2,all-offenses,2,0,0,0,3,1,0,0,0,0,0
3364,2012,12,199,0,all-offenses,2,0,10,68,54,44,16,14,3,0,0
3365,1997,35840,56797,1084,all-offenses,3484,793,45756,17818,14409,7639,2408,788,433,119,74
3366,1999,6311,29158,13750,all-offenses,16020,64,13337,9422,6449,2763,909,111,22,6,116
3367,2012,36537,190594,106913,all-offenses,123243,970,56025,79229,40061,21535,10333,1487,280,71,810
3368,1996,115,216,77,all-offenses,117,0,109,78,65,24,12,1,0,0,2
3369,2000,2990,39852,2603,all-offenses,11522,79,10880,14952,5439,1854,554,69,10,2,84
3370,2007,2188,13867,280,all-offenses,1700,17,2018,6024,3621,2097,659,140,39,8,12
3371,2014,341,951,125,all-offenses,295,1,161,338,279,186,116,28,9,0,4
3372,2014,316,1358,835,all-offenses,974,4,279,475,409,265,74,23,1,0,5
3373,2016,1138,33460,1159,all-offenses,4279,161,7985,9451,6613,3878,2320,775,184,41,70
3374,1994,90,4958,19,all-offenses,449,54,1158,1656,1153,400,138,38,10,0,11
3375,2007,12148,11039,539,all-offenses,1416,13,4034,8741,4970,3209,1063,243,24,5,8
3376,1998,10980,15355,3098,all-offenses,5220,57,4394,9510,7016,2404,550,113,38,6,125
3377,2017,35921,152432,91430,all-offenses,106735,697,36285,57885,44191,19642,11512,1872,331,61,572
3378,2017,23,63,2,all-offenses,4,0,5,28,24,16,8,3,0,0,0
3379,2017,76,502,8,all-offenses,14,0,80,200,106,82,57,31,14,2,0
3380,1993,14515,47931,54584,all-offenses,62412,439,17432,19210,11497,3783,1124,419,130,13,571
3381,1998,78,150,54,all-offenses,79,1,45,60,53,26,11,2,0,0,5
3382,2017,12937,67150,98135,all-offenses,106055,201,21644,24271,14857,5711,4588,468,61,15,351
3383,2007,8779,106168,4052,all-offenses,27282,213,32327,39118,12173,6053,1437,139,17,12,228
3384,2000,1121,6805,191,all-offenses,958,7,1134,2904,1913,863,228,76,16,4,14
3385,2012,10250,60815,69402,all-offenses,74558,380,22684,23940,10358,5268,2467,354,47,11,400
3386,2000,8236,8179,455,all-offenses,1265,7,4039,5829,3406,1663,513,95,13,0,40
3387,2011,14538,20048,13184,all-offenses,15771,43,4482,12949,7998,4418,1718,285,36,8,62
3388,2008,65533,160103,6945,all-offenses,23324,532,41927,63658,46669,36187,14647,4038,1101,234,264
3389,2012,178,682,3,all-offenses,11,0,216,216,128,132,99,49,11,0,1
3390,2001,32,84,8,all-offenses,15,0,17,36,25,18,9,4,0,0,0
3391,2015,320,1298,854,all-offenses,1042,9,226,416,438,217,103,14,6,0,1
3392,1996,15,158,16,all-offenses,35,0,35,38,40,22,9,4,5,1,0
3393,2015,532,1109,163,all-offenses,426,2,206,472,310,200,143,33,7,3,2
3394,1992,611,458,222,all-offenses,310,1,99,205,119,25,4,3,3,0,522
3395,1995,71,1036,5,all-offenses,57,51,383,233,225,99,37,16,7,4,0
3396,2004,5259,2646,20,all-offenses,62,1,367,2140,2701,1998,479,127,45,4,1
3397,2011,502,3449,311,all-offenses,563,4,683,1535,703,416,236,76,33,10,3
3398,2011,9013,33320,952,all-offenses,1398,18,10940,15705,8295,4658,1856,351,45,7,12
3399,1999,701,4133,1326,all-offenses,1525,397,2423,687,514,374,162,38,17,4,19
3400,1998,38635,62634,1717,all-offenses,4909,827,47595,19770,16317,9136,2859,871,435,123,144
3401,2002,1070,11155,25622,all-offenses,23641,110,4667,3484,1342,1721,2778,58,7,2,37
3402,1999,19808,71839,2720,all-offenses,8230,507,21343,27759,20494,11062,3443,973,315,83,158
3403,1991,5,6,0,all-offenses,0,0,1,4,0,3,0,0,0,0,3
3404,2004,170107,450983,7672,all-offenses,31967,3182,149663,187427,131014,90233,26197,6371,1814,466,428
3405,1999,414,520,6,all-offenses,8,1,46,270,347,172,67,22,6,1,0
3406,1997,7492,10834,1663,all-offenses,2948,11,3671,6618,4476,1732,375,67,25,3,63
3407,2004,27744,56957,24670,all-offenses,32952,353,21940,24241,15551,10300,2918,707,135,43,231
3408,1993,8575,47233,75857,all-offenses,80536,1360,23911,14480,7449,2253,614,166,52,39,805
3409,2014,855,2723,473,all-offenses,921,6,862,1169,582,296,173,27,5,3,7
3410,2000,125,748,44,all-offenses,78,3,196,193,196,140,81,20,7,0,3
3411,2001,21404,74213,311,all-offenses,734,14,28796,31355,20215,12425,2096,220,56,7,10
3412,2005,453,855,636,all-offenses,989,4,100,308,241,162,99,16,9,2,14
3413,2015,19,30,18,all-offenses,22,0,4,18,13,8,2,0,0,0,0
3414,2005,37374,48429,8997,all-offenses,15407,68,8459,31312,22256,12740,3441,757,160,37,163
3415,2017,83,316,36,all-offenses,40,0,23,66,73,101,60,55,14,3,0
3416,2004,210,2522,48,all-offenses,259,114,791,599,471,301,145,69,24,4,3
3417,2008,14796,18905,11390,all-offenses,14086,55,5704,12268,7018,4315,1303,226,21,12,83
3418,2007,379,2685,125,all-offenses,265,6,725,650,585,540,282,106,22,6,2
3419,2011,65888,159347,5811,all-offenses,19841,487,35814,64555,48818,36387,18566,4844,1294,280,160
3420,2013,136133,440760,3717,all-offenses,6293,100,122279,234780,119588,60764,30403,5731,554,54,64
3421,2012,224,670,16,all-offenses,19,0,94,159,171,181,153,109,22,1,1
3422,1997,60,108,27,all-offenses,39,0,31,50,43,19,10,2,0,0,1
3423,2002,493,19334,324,all-offenses,2301,121,5179,6009,3691,1898,634,223,54,9,32
3424,1996,33,99,1,all-offenses,1,0,15,28,18,32,24,14,1,0,0
3425,2003,40798,107789,6749,all-offenses,18842,435,27912,39381,33882,23603,7871,2417,676,154,163
3426,2004,56735,223851,123692,all-offenses,139725,4235,104433,78923,37247,25994,8062,3390,477,177,1615
3427,1993,2689,6959,984,all-offenses,1708,71,3072,3074,1762,562,174,49,15,0,145
3428,1991,349,571,543,all-offenses,696,0,137,224,113,9,1,0,0,2,281
3429,2009,15230,19293,12288,all-offenses,14899,39,5087,12864,7626,4574,1403,202,27,4,86
3430,2015,83794,204357,1082,all-offenses,1745,26,58202,112996,66415,30866,15838,2894,216,23,12
3431,1993,43,478,44,all-offenses,76,12,106,150,125,58,27,7,3,1,0
3432,1992,6,3,0,all-offenses,0,0,0,3,1,1,0,0,0,0,4
3433,2010,412,6263,105,all-offenses,483,218,2193,1443,1078,763,409,114,60,16,3
3434,2006,12324,16123,8401,all-offenses,11035,46,4455,10047,6181,3692,1036,210,51,17,78
3435,2001,282,2314,2109,all-offenses,2248,12,910,751,442,208,100,27,1,0,6
3436,2001,101,417,20,all-offenses,59,1,139,131,103,75,23,5,2,0,0
3437,2016,509,292,38,all-offenses,42,1,19,192,277,140,121,32,15,0,0
3438,1994,57,109,83,all-offenses,109,1,16,54,42,18,6,3,0,0,0
3439,2003,4910,20187,1202,all-offenses,1660,18,8829,7912,4561,2612,565,118,13,2,9
3440,1993,549,225,380,all-offenses,387,0,35,313,316,58,35,9,1,0,0
3441,2000,101,306,11,all-offenses,41,0,27,76,65,87,73,36,11,2,0
3442,1999,835,12248,297,all-offenses,1050,480,3986,2319,2596,1614,760,371,141,29,34
3443,1998,23,75,0,all-offenses,1,0,18,37,20,16,3,1,2,0,0
3444,2003,292,2013,158,all-offenses,245,0,420,968,408,266,90,33,24,3,6
3445,2002,56,532,10,all-offenses,24,14,196,92,130,79,38,18,5,0,2
3446,2017,3073,9615,709,all-offenses,1123,71,6849,1928,1506,963,615,233,92,10,7
3447,2017,73,282,19,all-offenses,35,1,41,124,91,44,26,9,3,0,0
3448,1999,127,1854,20,all-offenses,94,9,842,747,202,61,27,11,4,1,3
3449,1993,26159,111698,7130,all-offenses,12635,761,32788,48376,33827,12019,3219,929,278,48,107
3450,2007,150,588,4,all-offenses,14,0,105,124,126,143,147,59,22,2,0
3451,2014,105,275,2,all-offenses,5,0,42,146,79,62,30,10,7,1,0
3452,2012,1109,5185,230,all-offenses,446,24,2558,1201,819,699,478,230,62,4,3
3453,1996,14,115,4,all-offenses,8,0,38,38,16,12,17,4,0,0,0
3454,2003,7273,9901,3788,all-offenses,5438,21,2645,5752,4099,2178,607,153,18,2,49
3455,1995,9611,48723,200,all-offenses,1069,13,16725,21400,13969,4489,657,156,21,5,30
3456,1996,1412,16182,8181,all-offenses,9662,63,8784,3710,2010,563,876,29,8,1,69
3457,1991,602,311,436,all-offenses,497,4,116,106,47,6,4,2,0,0,567
3458,1991,7,27,7,all-offenses,8,0,7,8,14,2,0,0,0,0,2
3459,2000,11958,20865,2451,all-offenses,5861,25,4210,9889,8673,4595,1473,319,67,17,145
3460,2009,66512,163812,6612,all-offenses,22231,480,39599,66213,49199,36968,16261,4384,1112,297,192
3461,2006,7027,27911,1865,all-offenses,2363,21,10672,11487,6609,4269,1117,189,60,7,9
3462,2000,7,39,0,all-offenses,2,0,3,16,15,8,1,1,0,0,0
3463,1992,1489,2657,70,all-offenses,90,0,615,1398,987,238,33,6,1,0,848
3464,2017,1370,2616,958,all-offenses,1441,18,761,1093,841,386,311,70,7,2,14
3465,2006,428,3441,353,all-offenses,606,6,821,1500,644,406,163,50,15,7,4
3466,2004,70359,170676,87340,all-offenses,116267,1119,51387,66452,45521,31920,10333,3036,671,175,1494
3467,2015,106,318,6,all-offenses,11,0,31,159,115,65,35,9,3,2,0
3468,2007,14,139,0,all-offenses,0,0,7,63,46,23,9,3,1,1,0
3469,1996,5448,39128,11219,all-offenses,14029,423,18108,11223,7431,2326,1979,108,37,2,129
3470,2012,1226,2563,841,all-offenses,1100,12,801,1237,646,430,337,50,4,0,13
3471,2007,31939,50314,7962,all-offenses,16267,108,7979,25286,20045,13946,5066,1079,228,45,166
3472,1996,1,23,0,all-offenses,1,0,1,6,10,5,0,1,0,0,0
3473,2017,10627,10681,344,all-offenses,1034,1,2518,7503,5353,3221,1534,413,60,5,10
3474,2001,470,1878,448,all-offenses,897,7,595,725,365,146,39,11,3,2,6
3475,2009,8025,30748,1114,all-offenses,1588,26,12245,13237,6635,4361,1422,298,56,7,12
3476,1996,2860,6132,352,all-offenses,946,13,1278,2952,2498,1141,335,95,31,7,48
3477,2006,61057,151941,7361,all-offenses,23897,512,40207,58973,44847,34399,12769,3397,952,238,168
3478,2012,2453,14167,277,all-offenses,1550,14,1653,6283,4049,2164,925,215,35,3,6
3479,2007,29293,174315,86462,all-offenses,104036,1209,63417,60407,31228,21474,6478,853,179,63,726
3480,2017,3391,16711,368,all-offenses,1589,14,1908,7018,5539,2748,1263,307,61,9,14
3481,2005,43,121,2,all-offenses,6,1,35,45,30,31,11,1,4,2,0
3482,2000,4265,35830,54601,all-offenses,56327,162,17679,9696,4849,3336,1963,524,57,2,101
3483,2000,78,442,5,all-offenses,8,0,96,149,113,82,52,20,3,1,1
3484,2014,73707,189030,1009,all-offenses,1626,21,57713,103291,56075,28071,14318,2422,180,13,16
3485,2012,9465,10097,303,all-offenses,949,1,1939,7456,4714,3080,1348,326,38,7,7
