,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3709,2014,42016,77483,23112,all-offenses,30690,253,21029,40187,26110,14101,8039,1686,291,68,157
3710,2013,2590,1814,12,all-offenses,58,0,204,1631,1249,724,383,120,30,16,1
3711,2013,42027,141578,6159,all-offenses,17301,453,26863,63271,39034,24078,13962,3539,861,238,164
3712,2012,125,1226,12,all-offenses,26,24,386,234,251,210,129,57,23,6,17
3713,2003,29038,36623,7637,all-offenses,12861,46,7045,23680,17281,9522,2211,441,99,19,93
3714,1992,645,191,52,all-offenses,52,0,30,210,196,48,11,5,0,0,336
3715,1996,18,183,1,all-offenses,6,2,64,32,49,28,15,3,3,0,0
3716,1995,2400,12496,1944,all-offenses,2701,26,6800,3981,2429,675,152,26,11,0,39
3717,2011,27052,37804,6385,all-offenses,10549,62,5137,23728,16806,9794,4021,862,189,38,55
3718,1991,7,154,1,all-offenses,6,5,41,51,41,11,3,3,1,0,0
3719,2006,63,137,2,all-offenses,6,1,45,74,43,19,10,3,0,1,0
3720,2016,10914,10941,325,all-offenses,922,3,2455,7845,5631,3260,1566,413,68,6,11
3721,1994,384,391,14,all-offenses,70,0,115,300,198,78,24,4,0,0,0
3722,2007,791,26917,502,all-offenses,3533,132,6576,8286,4844,3144,1211,339,94,26,25
3723,2005,57640,144990,7241,all-offenses,23523,569,37332,55139,44206,32807,11762,3297,880,189,167
3724,2013,2392,28051,609,all-offenses,2001,999,8610,5620,5259,3804,2596,1323,530,143,167
3725,1995,192,337,23,all-offenses,79,0,118,177,118,51,5,2,1,0,1
3726,2016,3094,16245,370,all-offenses,1524,3,1641,7037,5414,2508,1237,287,47,6,5
3727,1994,518,2160,101,all-offenses,357,1,347,1012,762,209,57,19,10,1,4
3728,2014,72841,233768,95627,all-offenses,108315,3181,79422,102240,56314,29784,17592,3726,883,199,580
3729,2013,468,4718,61,all-offenses,155,35,2202,1870,544,264,103,42,17,1,14
3730,2017,1763,8333,22229,all-offenses,23237,19,1012,3028,2569,1287,936,141,31,6,59
3731,1995,38,78,0,all-offenses,1,0,3,31,28,35,12,6,0,0,0
3732,1998,2447,3612,875,all-offenses,1383,19,1339,2179,1336,455,149,35,4,1,34
3733,1993,87,793,156,all-offenses,293,1,229,356,139,14,0,0,0,0,4
3734,1991,5198,3403,6466,all-offenses,7068,29,986,1555,1041,273,78,26,5,1,4005
3735,2016,11085,88077,5382,all-offenses,25523,175,23332,34502,13517,4574,2419,308,41,11,142
3736,1995,963,10074,119,all-offenses,281,46,4280,3121,2046,913,305,110,47,6,1
3737,2012,1566,10483,21251,all-offenses,22632,67,2039,4006,2273,1401,646,119,18,5,94
3738,1994,938,15270,1575,all-offenses,3911,30,4510,6449,2341,432,47,12,1,0,50
3739,1997,11308,32799,2519,all-offenses,5725,114,9094,11701,11197,5723,2076,612,182,35,167
3740,2000,342,15195,229,all-offenses,1814,111,4117,4636,2908,1450,508,151,36,6,29
3741,2011,584,1053,1101,all-offenses,1673,5,79,320,285,221,121,18,6,1,9
3742,2005,7135,27652,2921,all-offenses,3355,56,10592,11698,6603,4173,957,207,37,8,22
3743,2015,94043,198323,94616,all-offenses,115467,932,44928,89929,66957,38031,23485,5327,1154,262,510
3744,2004,37,126,6,all-offenses,5,0,13,65,38,34,12,1,1,0,0
3745,1991,11328,57181,10994,all-offenses,16478,259,11987,24564,18383,5678,1459,505,126,14,50
3746,2009,53,171,1,all-offenses,5,0,51,84,29,26,17,8,4,1,0
3747,2000,43,410,9,all-offenses,41,5,126,64,99,86,24,12,3,1,1
3748,1997,123,812,50,all-offenses,69,1,251,328,194,84,32,15,7,4,0
3749,1992,53789,22438,20105,all-offenses,21707,686,10290,7716,4150,1272,325,104,40,12,50030
3750,1996,113,5319,22,all-offenses,399,36,1380,1762,1176,458,178,40,10,1,14
3751,2002,54,214,5,all-offenses,10,0,16,39,45,60,64,30,9,0,0
3752,1997,1707,7787,452,all-offenses,682,27,4432,2570,1502,581,116,24,5,1,6
3753,2016,1258,2527,775,all-offenses,1224,9,643,1117,798,396,286,68,10,4,5
3754,1994,51,134,155,all-offenses,182,0,43,59,33,18,4,1,0,0,0
3755,2007,103,1242,7,all-offenses,47,26,427,207,274,217,90,39,20,4,1
3756,2008,139575,160524,4374,all-offenses,18244,595,111058,80119,43330,33381,13924,2903,670,148,101
3757,2005,433,3198,389,all-offenses,651,7,673,1416,631,393,161,43,19,10,16
3758,1991,301,115,138,all-offenses,139,0,21,120,87,23,3,6,3,0,152
3759,2014,96737,208311,93557,all-offenses,113747,984,48458,96922,67449,39494,24349,5232,1136,257,577
3760,2012,648,424,24,all-offenses,38,2,32,308,356,220,95,29,14,1,1
3761,1995,141,332,1,all-offenses,3,0,19,184,170,69,15,10,2,0,2
3762,1995,9749,37676,796,all-offenses,2349,272,12445,15017,10910,4928,1535,525,158,30,52
3763,2008,31519,41590,6804,all-offenses,12292,56,6831,26145,18405,11326,3858,776,140,23,61
3764,2001,133693,371815,7042,all-offenses,26918,3214,117151,151976,119224,68430,18649,4498,1415,366,709
3765,2017,462,358,46,all-offenses,58,0,19,239,261,134,97,53,5,0,0
3766,1995,270,1723,203,all-offenses,286,138,1056,305,235,109,46,9,8,1,3
3767,2005,10802,13492,6015,all-offenses,7987,27,3579,8769,5614,3146,840,200,45,21,81
3768,1998,15216,42912,3869,all-offenses,8532,228,11955,15104,14471,7631,2805,713,237,56,265
3769,2002,4,62,0,all-offenses,0,0,2,19,22,14,5,4,0,0,0
3770,1993,28,85,27,all-offenses,41,0,20,31,27,10,2,8,1,0,0
3771,1999,174,2976,43,all-offenses,189,153,1154,611,561,303,137,62,17,2,4
3772,2002,17412,30452,4489,all-offenses,9448,44,5051,14441,12639,7548,2424,545,109,15,89
3773,2016,2762,8814,599,all-offenses,951,53,6164,1773,1295,950,629,252,88,10,10
3774,2016,42,179,6,all-offenses,20,0,12,98,64,20,9,3,1,0,0
3775,1993,107,849,587,all-offenses,659,5,451,254,105,41,16,4,2,0,6
3776,1994,11,133,16,all-offenses,26,0,42,28,29,23,4,4,2,0,2
3777,2008,605,918,790,all-offenses,1233,7,108,346,291,214,82,14,4,2,12
3778,2001,3432,2014,13,all-offenses,40,0,240,1466,2136,1186,258,82,25,2,24
3779,1997,1952,2737,539,all-offenses,952,1,1149,1671,987,341,94,11,3,0,19
3780,2001,190,2063,51,all-offenses,186,61,633,547,489,244,96,29,14,3,2
3781,1992,49899,23638,18936,all-offenses,23714,229,6646,9319,6572,1717,589,233,62,20,43372
3782,1998,174,1051,50,all-offenses,92,0,249,462,238,136,69,18,8,3,0
3783,2003,50,135,2,all-offenses,6,1,36,64,32,32,9,1,5,1,0
3784,2010,2263,27916,629,all-offenses,2190,839,9047,5548,5167,3963,2396,1096,417,119,26
